Spanish,English,Pronunciation,Category
de,of/from,deh,Connectors
que,that/which,keh,Connectors
y,and,ee,Connectors
a,to/at,ah,Connectors
en,in/on,ehn,Connectors
no,no/not,noh,Connectors
sí,yes,see,Connectors
pero,but,peh-roh,Connectors
por,for/by,por,Connectors
con,with,kohn,Connectors
porque,because,por-keh,Connectors
si,if,see,Connectors
o,or,oh,Connectors
cuando,when,kwan-doh,Connectors
muy,very,mwee,Connectors
ser,to be (permanent),sehr,Verbs (Top 10)
estar,to be (temporary),eh-star,Verbs (Top 10)
tener,to have,teh-nehr,Verbs (Top 10)
hacer,to do/make,ah-sehr,Verbs (Top 10)
poder,can/be able to,poh-dehr,Verbs (Top 10)
decir,to say/tell,deh-seer,Verbs (Top 10)
ir,to go,eer,Verbs (Top 10)
ver,to see,vehr,Verbs (Top 10)
querer,to want,keh-rehr,Verbs (Top 10)
saber,to know (facts),sah-behr,Verbs (Top 10)
yo,I,yoh,Pronouns
tú,you (informal),too,Pronouns
él,he,ehl,Pronouns
ella,she,eh-yah,Pronouns
nosotros,we,noh-soh-trohs,Pronouns
ellos,they,eh-yohs,Pronouns
usted,you (formal),oos-ted,Pronouns
todo,everything/all,toh-doh,Pronouns
nada,nothing,nah-dah,Pronouns
algo,something,al-goh,Pronouns
hombre,man,ohm-breh,People
mujer,woman,moo-hehr,People
amigo,friend,ah-mee-goh,People
familia,family,fah-mee-lyah,People
qué,what,keh,Questions
cómo,how,koh-moh,Questions
quién,who,kyehn,Questions
dónde,where,dohn-deh,Questions
por qué,why,por keh,Questions
cuánto,how much,kwan-toh,Questions
cuándo,when,kwan-doh,Questions
ahora,now,ah-oh-rah,Time
hoy,today,oy,Time
mañana,tomorrow/morning,mah-nyah-nah,Time
ayer,yesterday,ah-yehr,Time
día,day,dee-ah,Time
noche,night,noh-cheh,Time
semana,week,seh-mah-nah,Time
año,year,ah-nyoh,Time
vez,time (occurrence),vehs,Time
aquí,here,ah-kee,Location
allí,there,ah-yee,Location
lugar,place,loo-gahr,Location
bueno,good,bweh-noh,Adjectives
malo,bad,mah-loh,Adjectives
grande,big,grahn-deh,Adjectives
pequeño,small,peh-keh-nyoh,Adjectives
mucho,a lot/much,moo-choh,Adjectives
poco,a little/few,poh-koh,Adjectives
nuevo,new,nweh-voh,Adjectives
mismo,same,mees-moh,Adjectives
importante,important,eem-por-tahn-teh,Adjectives
verdad,truth,vehr-dahd,Nouns (Abstract)
dar,to give,dahr,Verbs (Action)
hablar,to speak,ah-blahr,Verbs (Action)
encontrar,to find,ehn-kohn-trahr,Verbs (Action)
llevar,to wear/carry,yeh-vahr,Verbs (Action)
mirar,to look/watch,mee-rahr,Verbs (Action)
creer,to believe,kreh-ehr,Verbs (Action)
empezar,to start,ehm-peh-sahr,Verbs (Action)
esperar,to wait/hope,ehs-peh-rahr,Verbs (Action)
buscar,to look for,boos-kahr,Verbs (Action)
existir,to exist,ehk-sees-teer,Verbs (Action)
entrar,to enter,ehn-trahr,Verbs (Action)
trabajar,to work,trah-bah-hahr,Verbs (Action)
escribir,to write,ehs-kree-beer,Verbs (Action)
perder,to lose,pehr-dehr,Verbs (Action)
entender,to understand,ehn-ten-dehr,Verbs (Action)
pedir,to ask for,peh-deer,Verbs (Action)
recibir,to receive,reh-see-beer,Verbs (Action)
recordar,to remember,reh-kor-dahr,Verbs (Action)
terminar,to finish,tehr-mee-nahr,Verbs (Action)
permitir,to allow,pehr-mee-teer,Verbs (Action)
aparecer,to appear,ah-pah-reh-sehr,Verbs (Action)
conseguir,to get/obtain,kohn-seh-geer,Verbs (Action)
comenzar,to begin,koh-men-sahr,Verbs (Action)
servir,to serve,sehr-veer,Verbs (Action)
sacar,to take out,sah-kahr,Verbs (Action)
necesitar,to need,neh-seh-see-tahr,Verbs (Action)
mantener,to maintain,mahn-teh-nehr,Verbs (Action)
leer,to read,leh-ehr,Verbs (Action)
caer,to fall,kah-ehr,Verbs (Action)
cambiar,to change,kahm-byahr,Verbs (Action)
gente,people,hen-teh,People
persona,person,pehr-soh-nah,People
niño,boy,nee-nyoh,People
niña,girl,nee-nyah,People
hijo,son,ee-hoh,People
hija,daughter,ee-hah,People
padre,father,pah-dreh,People
madre,mother,mah-dreh,People
hermano,brother,ehr-mah-noh,People
hermana,sister,ehr-mah-nah,People
señor,Mr./sir,seh-nyohr,People
señora,Mrs./madam,seh-nyoh-rah,People
nombre,name,nohm-breh,People
grupo,group,groo-poh,People
trabajo,job/work,trah-bah-hoh,Nouns (General)
país,country,pah-ees,Nouns (General)
mundo,world,moon-doh,Nouns (General)
mano,hand,mah-noh,Body
ojos,eyes,oh-hos,Body
cuerpo,body,kwehr-poh,Body
mente,mind,men-teh,Body
vida,life,vee-dah,Nouns (Abstract)
casa,house,kah-sah,House/City
agua,water,ah-gwah,Food/Drink
puerta,door,pwehr-tah,House/City
calle,street,kah-yeh,House/City
ciudad,city,syoo-dahd,House/City
coche,car,koh-cheh,House/City
camino,road/path,kah-mee-noh,House/City
dinero,money,dee-neh-roh,House/City
mesa,table,meh-sah,House/City
libro,book,lee-broh,Objects
escuela,school,ehs-kweh-lah,House/City
problema,problem,proh-bleh-mah,Nouns (Abstract)
historia,history/story,ees-toh-ryah,Nouns (Abstract)
palabra,word,pah-lah-brah,Nouns (Abstract)
número,number,noo-meh-roh,Nouns (Abstract)
sistema,system,sees-teh-mah,Nouns (Abstract)
hora,hour,oh-rah,Time
minuto,minute,mee-noo-toh,Time
mes,month,mehs,Time
luz,light,loos,Nouns (General)
comer,to eat,koh-mehr,Food/Drink
beber,to drink,beh-behr,Food/Drink
desayuno,breakfast,deh-sah-yoo-noh,Food/Drink
almuerzo,lunch,ahl-mwehr-soh,Food/Drink
cena,dinner,seh-nah,Food/Drink
pan,bread,pahn,Food/Drink
carne,meat,kahr-neh,Food/Drink
pollo,chicken,poh-yoh,Food/Drink
pescado,fish (food),pes-kah-doh,Food/Drink
fruta,fruit,froo-tah,Food/Drink
verduras,vegetables,vehr-doo-rahs,Food/Drink
cerveza,beer,sehr-veh-sah,Food/Drink
vino,wine,vee-noh,Food/Drink
leche,milk,leh-cheh,Food/Drink
café,coffee,kah-feh,Food/Drink
cuenta,bill/check,kwen-tah,Dining
hambre,hunger,ahm-breh,Feelings
sed,thirst,sed,Feelings
delicioso,delicious,deh-lee-syoh-soh,Adjectives
cocina,kitchen,koh-see-nah,House
viajar,to travel,vyah-hahr,Travel
avión,airplane,ah-vyohn,Travel
aeropuerto,airport,ah-eh-roh-pwehr-toh,Travel
tren,train,trehn,Travel
autobús,bus,ow-toh-boos,Travel
boleto,ticket,boh-leh-toh,Travel
pasaporte,passport,pah-sah-por-teh,Travel
maleta,suitcase,mah-leh-tah,Travel
mapa,map,mah-pah,Travel
izquierda,left,ees-kyehr-dah,Directions
derecha,right,deh-reh-chah,Directions
derecho,straight ahead,deh-reh-choh,Directions
cerca,near,sehr-kah,Directions
lejos,far,leh-hos,Directions
entrada,entrance,ehn-trah-dah,Directions
salida,exit,sah-lee-dah,Directions
arriba,up/above,ah-rree-bah,Directions
abajo,down/below,ah-bah-hoh,Directions
estación,station,ehs-ta-syohn,Travel
hotel,hotel,oh-tel,Travel
comprar,to buy,kohm-prahr,Shopping
vender,to sell,ven-dehr,Shopping
pagar,to pay,pah-gahr,Shopping
precio,price,preh-syoh,Shopping
barato,cheap,bah-rah-toh,Adjectives
caro,expensive,kah-roh,Adjectives
tienda,store,tyen-dah,Shopping
mercado,market,mehr-kah-doh,Shopping
abierto,open,ah-byehr-toh,Adjectives
cerrado,closed,seh-rrah-doh,Adjectives
ropa,clothes,rroh-pah,Clothing
camisa,shirt,kah-mee-sah,Clothing
pantalones,pants,pahn-tah-loh-nes,Clothing
zapatos,shoes,sah-pah-tohs,Clothing
vestido,dress,ves-tee-doh,Clothing
bolsa,bag,bohl-sah,Clothing
tarjeta,card,tahr-heh-tah,Shopping
regalo,gift,reh-gah-loh,Shopping
efectivo,cash,eh-fek-tee-voh,Shopping
color,color,koh-lohr,Colors
rojo,red,rroh-hoh,Colors
azul,blue,ah-sool,Colors
verde,green,vehr-deh,Colors
blanco,white,blahn-koh,Colors
negro,black,neh-groh,Colors
amarillo,yellow,ah-mah-ree-yoh,Colors
sucio,dirty,soo-syoh,Adjectives
limpio,clean,leem-pyoh,Adjectives
caliente,hot,kah-lyen-teh,Adjectives
frío,cold,free-oh,Adjectives
lleno,full,yeh-noh,Adjectives
vacío,empty,vah-see-oh,Adjectives
listo,ready/smart,lees-toh,Adjectives
rápido,fast,rrah-pee-doh,Adjectives
lento,slow,len-toh,Adjectives
sentir,to feel,sen-teer,Health
doler,to hurt,doh-lehr,Health
dolor,pain,doh-lohr,Health
enfermo,sick,ehn-fehr-moh,Health
cansado,tired,kahn-sah-doh,Health
feliz,happy,feh-lees,Health
triste,sad,trees-teh,Health
enojado,angry,eh-noh-hah-doh,Health
miedo,fear,myeh-doh,Health
cabeza,head,kah-beh-sah,Body
estómago,stomach,ehs-toh-mah-goh,Body
médico,doctor,meh-dee-koh,Health
medicina,medicine,meh-dee-see-nah,Health
ayuda,help,ah-yoo-dah,Health
amor,love,ah-mohr,Abstract
salud,health,sah-lood,Health
celular,cell phone,seh-loo-lahr,Tech
computadora,computer,kom-poo-tah-doh-rah,Tech
internet,internet,een-tehr-net,Tech
mensaje,message,men-sah-heh,Tech
llamada,call,yah-mah-dah,Tech
correo,email/mail,koh-rreh-oh,Tech
foto,photo,foh-toh,Tech
video,video,bee-deh-oh,Tech
noticia,news,noh-tee-syah,Tech
canción,song,kahn-syohn,Media
película,movie,peh-lee-koo-lah,Media
juego,game,hweh-goh,Media
pantalla,screen,pahn-tah-yah,Tech
funcionar,to work/function,foon-syo-nahr,Tech
sol,sun,sohl,Nature
luna,moon,loo-nah,Nature
cielo,sky,syeh-loh,Nature
tierra,earth/ground,tyeh-rrah,Nature
mar,sea,mahr,Nature
playa,beach,plah-yah,Nature
aire,air,ay-reh,Nature
fuego,fire,fweh-goh,Nature
viento,wind,byen-toh,Nature
lluvia,rain,yoo-byah,Nature
árbol,tree,ahr-bohl,Nature
flor,flower,flohr,Nature
animal,animal,ah-nee-mahl,Nature
perro,dog,peh-rroh,Nature
gato,cat,gah-toh,Nature
pájaro,bird,pah-hah-roh,Nature
pez,fish (alive),pes,Nature
campo,countryside,kahm-poh,Nature
montaña,mountain,mohn-tah-nyah,Nature
río,river,ree-oh,Nature
gustar,to like,goos-tahr,Verbs (Advanced)
quedar,to stay/remain,keh-dahr,Verbs (Advanced)
parecer,to seem,pah-reh-sehr,Verbs (Advanced)
dejar,to leave/let,deh-hahr,Verbs (Advanced)
volver,to return,bohl-vehr,Verbs (Advanced)
salir,to go out,sah-leer,Verbs (Advanced)
jugar,to play,hoo-gahr,Verbs (Advanced)
oír,to hear,oh-eer,Verbs (Advanced)
tocar,to touch/play,toh-kahr,Verbs (Advanced)
correr,to run,koh-rreh,Verbs (Advanced)
caminar,to walk,kah-mee-nahr,Verbs (Advanced)
sentar,to sit,sen-tahr,Verbs (Advanced)
levantar,to lift/get up,leh-bahn-tahr,Verbs (Advanced)
dormir,to sleep,dor-meer,Verbs (Advanced)
morir,to die,moh-reer,Verbs (Advanced)
nacer,to be born,nah-sehr,Verbs (Advanced)
abrir,to open,ah-breer,Verbs (Advanced)
cerrar,to close,seh-rrahr,Verbs (Advanced)
ganar,to win/earn,gah-nahr,Verbs (Advanced)
idea,idea,ee-deh-ah,Abstract
razón,reason,rah-sohn,Abstract
manera,way/manner,mah-neh-rah,Abstract
tipo,type/guy,tee-poh,Abstract
parte,part,pahr-teh,Abstract
ejemplo,example,eh-hem-ploh,Abstract
hecho,fact/done,eh-choh,Abstract
caso,case,kah-soh,Abstract
punto,point,poon-toh,Abstract
fin,end,feen,Abstract
lado,side,lah-doh,Abstract
nivel,level,nee-vel,Abstract
ley,law,ley,Abstract
guerra,war,geh-rrah,Abstract
paz,peace,pahs,Abstract
gobierno,government,goh-byehr-noh,Abstract
empresa,company,ehm-preh-sah,Business
oficina,office,oh-fee-see-nah,Business
éxito,success,ehk-see-toh,Abstract
suerte,luck,swehr-teh,Abstract
entre,between,ehn-treh,Connectors (Adv)
sin,without,seen,Connectors (Adv)
hasta,until,ahs-tah,Connectors (Adv)
desde,from/since,des-deh,Connectors (Adv)
durante,during,doo-rahn-teh,Connectors (Adv)
hacia,toward,ah-syah,Connectors (Adv)
según,according to,seh-goon,Connectors (Adv)
sobre,about/over,soh-breh,Connectors (Adv)
tras,after/behind,trahs,Connectors (Adv)
quizás,perhaps,kee-sahs,Connectors (Adv)
apenas,barely,ah-peh-nahs,Connectors (Adv)
mientras,while,myen-trahs,Connectors (Adv)
a veces,sometimes,ah veh-ses,Frequency
a menudo,often,ah meh-noo-doh,Frequency
temprano,early,tem-prah-noh,Time
tarde,late,tahr-deh,Time
jamás,never,hah-mahs,Frequency
anoche,last night,ah-noh-cheh,Time
próximo,next,prohk-see-moh,Time
cumpleaños,birthday,koom-pleh-ah-nyohs,Time
edad,age,eh-dahd,Nouns (General)
uno,one,oo-noh,Numbers
dos,two,dohs,Numbers
tres,three,trehs,Numbers
cuatro,four,kwah-troh,Numbers
cinco,five,seen-koh,Numbers
seis,six,says,Numbers
siete,seven,syeh-teh,Numbers
ocho,eight,oh-choh,Numbers
nueve,nine,nweh-veh,Numbers
diez,ten,dyehs,Numbers
veinte,twenty,vayn-teh,Numbers
cincuenta,fifty,seen-kwen-tah,Numbers
cien,one hundred,syen,Numbers
mil,one thousand,meel,Numbers
lunes,Monday,loo-nes,Days
martes,Tuesday,mahr-tes,Days
miércoles,Wednesday,myer-koh-les,Days
jueves,Thursday,hweh-ves,Days
viernes,Friday,vyehr-nes,Days
sábado,Saturday,sah-bah-doh,Days
domingo,Sunday,doh-meen-goh,Days
enero,January,eh-neh-roh,Months
febrero,February,feh-breh-roh,Months
marzo,March,mahr-soh,Months
abril,April,ah-breel,Months
mayo,May,mah-yoh,Months
junio,June,hoo-nyoh,Months
julio,July,hoo-lyoh,Months
agosto,August,ah-gohs-toh,Months
septiembre,September,sep-tyem-breh,Months
octubre,October,ok-too-breh,Months
noviembre,November,noh-vyem-breh,Months
diciembre,December,dee-syem-breh,Months
vivir,to live,vee-veer,Verbs (Core)
aprender,to learn,ah-pren-dehr,Verbs (Core)
enseñar,to teach,ehn-seh-nyahr,Verbs (Core)
preguntar,to ask,preh-goon-tahr,Verbs (Core)
responder,to answer,res-pohn-dehr,Verbs (Core)
ayudar,to help,ah-yoo-dahr,Verbs (Core)
bailar,to dance,by-lahr,Verbs (Activity)
cantar,to sing,kahn-tahr,Verbs (Activity)
cocinar,to cook,koh-see-nahr,Verbs (Activity)
limpiar,to clean,leem-pyahr,Verbs (Activity)
lavar,to wash,lah-vahr,Verbs (Activity)
bajar,to go down,bah-hahr,Verbs (Movement)
subir,to go up,soo-beer,Verbs (Movement)
parar,to stop,pah-rahr,Verbs (Movement)
romper,to break,rrom-pehr,Verbs (Action)
odiar,to hate,oh-dyahr,Verbs (Emotion)
amar,to love,ah-mahr,Verbs (Emotion)
beso,kiss,beh-soh,Relationships
abrazo,hug,ah-brah-soh,Relationships
novio,boyfriend,noh-vyoh,Relationships
novia,girlfriend,noh-vyah,Relationships
esposo,husband,es-poh-soh,Relationships
esposa,wife,es-poh-sah,Relationships
jefe,boss,heh-feh,Work
empleado,employee,em-pleh-ah-doh,Work
compañero,partner/colleague,kom-pah-nyeh-roh,Work
cliente,client,klyen-teh,Work
escritorio,desk,es-kree-toh-ryoh,Objects
silla,chair,see-yah,Objects
papel,paper,pah-pel,Objects
bolígrafo,pen,boh-lee-grah-foh,Objects
lápiz,pencil,lah-pees,Objects
teléfono,telephone,teh-leh-foh-noh,Objects
reloj,watch/clock,reh-loh,Objects
llave,key,yah-veh,Objects
cama,bed,kah-mah,Furniture
sofá,sofa,soh-fah,Furniture
espejo,mirror,es-peh-hoh,Furniture
ventana,window,ven-tah-nah,House
pared,wall,pah-red,House
piso,floor,pee-soh,House
techo,ceiling/roof,teh-choh,House
jardín,garden,har-deen,House
baño,bathroom,bah-nyoh,House
dormitorio,bedroom,dor-mee-toh-ryoh,House
sala,living room,sah-lah,House
vaso,glass,vah-soh,Kitchen
plato,plate,plah-toh,Kitchen
tenedor,fork,teh-neh-dor,Kitchen
cuchillo,knife,koo-chee-yoh,Kitchen
cuchara,spoon,koo-chah-rah,Kitchen
servilleta,napkin,ser-vee-yeh-tah,Kitchen
botella,bottle,boh-teh-yah,Kitchen
taza,cup,tah-sah,Kitchen
arroz,rice,ah-rrohs,Food
huevo,egg,weh-voh,Food
queso,cheese,keh-soh,Food
ensalada,salad,en-sah-lah-dah,Food
sopa,soup,soh-pah,Food
azúcar,sugar,ah-soo-kahr,Food
sal,salt,sahl,Food
pimienta,pepper,pee-myen-tah,Food
aceite,oil,ah-say-teh,Food
mantequilla,butter,man-teh-kee-yah,Food
postre,dessert,pohs-treh,Food
hielo,ice,yeh-loh,Food
naranja,orange,nah-rahn-hah,Food
manzana,apple,man-sah-nah,Food
plátano,banana,plah-tah-noh,Food
tomate,tomato,toh-mah-teh,Food
papa,potato,pah-pah,Food
cebolla,onion,seh-boh-yah,Food
ajo,garlic,ah-hoh,Food
chamarra,jacket (Mex),chah-mah-rrah,Clothing
chaqueta,jacket,chah-keh-tah,Clothing
abrigo,coat,ah-bree-goh,Clothing
falda,skirt,fahl-dah,Clothing
sombrero,hat,som-breh-roh,Clothing
gafas,glasses,gah-fahs,Clothing
reloj,watch,reh-loh,Clothing
bolsillo,pocket,bol-see-yoh,Clothing
botas,boots,boh-tahs,Clothing
calcetines,socks,kal-seh-tee-nes,Clothing
cinturón,belt,seen-too-rohn,Clothing
oreja,ear,oh-reh-hah,Body
nariz,nose,nah-rees,Body
boca,mouth,boh-kah,Body
diente,tooth,dyen-teh,Body
lengua,tongue,len-gwah,Body
cuello,neck,kweh-yoh,Body
hombro,shoulder,ohm-broh,Body
espalda,back,es-pahl-dah,Body
brazo,arm,brah-soh,Body
dedo,finger,deh-doh,Body
pierna,leg,pyer-nah,Body
pie,foot,pyeh,Body
piel,skin,pyel,Body
sangre,blood,sahn-greh,Body
corazón,heart,koh-rah-sohn,Body
cerebro,brain,seh-reh-broh,Body
hueso,bone,weh-soh,Body
farmacia,pharmacy,far-mah-syah,City
hospital,hospital,os-pee-tahl,City
policía,police,poh-lee-see-ah,City
banco,bank,bahn-koh,City
parque,park,pahr-keh,City
cine,cinema,see-neh,City
teatro,theater,teh-ah-troh,City
biblioteca,library,bee-blyoh-teh-kah,City
museo,museum,moo-seh-oh,City
iglesia,church,ee-gleh-syah,City
puente,bridge,pwen-teh,City
edificio,building,eh-dee-fee-syoh,City
norte,north,nor-teh,Directions
sur,south,soor,Directions
este,east,es-teh,Directions
oeste,west,oh-es-teh,Directions
clima,weather,klee-mah,Nature
calor,heat,kah-lor,Nature
nube,cloud,noo-beh,Nature
nieve,snow,nyeh-veh,Nature
estrella,star,es-treh-yah,Nature
bosque,forest,bohs-keh,Nature
desierto,desert,deh-syer-toh,Nature
isla,island,ees-lah,Nature
piedra,stone,pyeh-drah,Nature
planta,plant,plahn-tah,Nature
ratón,mouse,rah-tohn,Animals
vaca,cow,vah-kah,Animals
cerdo,pig,ser-doh,Animals
caballo,horse,kah-bah-yoh,Animals
oveja,sheep,oh-veh-hah,Animals
león,lion,leh-ohn,Animals
oso,bear,oh-soh,Animals
elefante,elephant,eh-leh-fahn-teh,Animals
mosca,fly,mohs-kah,Animals
araña,spider,ah-rah-nyah,Animals
alto,tall/high,ahl-toh,Adjectives
bajo,short/low,bah-hoh,Adjectives
gordo,fat,gor-doh,Adjectives
delgado,thin,del-gah-doh,Adjectives
bonito,pretty,boh-nee-toh,Adjectives
feo,ugly,feh-oh,Adjectives
rico,rich/tasty,ree-koh,Adjectives
pobre,poor,poh-breh,Adjectives
inteligente,smart,een-teh-lee-hen-teh,Adjectives
tonto,stupid,tohn-toh,Adjectives
divertido,fun,dee-ver-tee-doh,Adjectives
aburrido,boring,ah-boo-rree-doh,Adjectives
amable,kind,ah-mah-bleh,Adjectives
duro,hard,doo-roh,Adjectives
suave,soft,swah-veh,Adjectives
seco,dry,seh-koh,Adjectives
mojado,wet,moh-hah-doh,Adjectives
dulce,sweet,dool-seh,Adjectives
salado,salty,sah-lah-doh,Adjectives
picante,spicy,pee-kahn-teh,Adjectives
redondo,round,reh-dohn-doh,Adjectives
cuadrado,square,kwah-drah-doh,Adjectives
peligroso,dangerous,peh-lee-groh-soh,Adjectives
seguro,safe/sure,seh-goo-roh,Adjectives
famoso,famous,fah-moh-soh,Adjectives
común,common,koh-moon,Adjectives
extraño,strange,ex-trah-nyoh,Adjectives
antiguo,ancient,ahn-tee-gwoh,Adjectives
moderno,modern,moh-der-noh,Adjectives
profesor,teacher,proh-feh-sor,Professions
maestro,teacher (primary),mah-es-troh,Professions
estudiante,student,es-too-dyahn-teh,Professions
doctor,doctor,dok-tor,Professions
enfermero,nurse,en-fer-meh-roh,Professions
abogado,lawyer,ah-boh-gah-doh,Professions
ingeniero,engineer,een-heh-nyeh-roh,Professions
artista,artist,ahr-tees-tah,Professions
escritor,writer,es-kree-tor,Professions
actor,actor,ak-tor,Professions
cantante,singer,kahn-tahn-teh,Professions
cocinero,chef,koh-see-neh-roh,Professions
mesero,waiter,meh-seh-roh,Professions
político,politician,poh-lee-tee-koh,Professions
soldado,soldier,sol-dah-doh,Professions
periodista,journalist,peh-ryoh-dees-tah,Professions
ciencia,science,syen-syah,School
matemáticas,math,mah-teh-mah-tee-kahs,School
arte,art,ahr-teh,School
música,music,moo-see-kah,School
examen,exam,ek-sah-men,School
clase,class,klah-seh,School
tarea,homework,tah-reh-ah,School
pregunta,question,preh-goon-tah,School
respuesta,answer,res-pwes-tah,School
regla,rule/ruler,reh-glah,School
diccionario,dictionary,deek-syo-nah-ryoh,School
mapa,map,mah-pah,School
bandera,flag,bahn-deh-rah,School
error,mistake,eh-rror,Abstract
verdad,truth,ver-dahd,Abstract
mentira,lie,men-tee-rah,Abstract
sueño,dream/sleepiness,sweh-nyoh,Abstract
voz,voice,vohs,Abstract
ruido,noise,rwee-doh,Abstract
olor,smell,oh-lor,Abstract
sabor,taste,sah-bor,Abstract
fuerza,strength,fwer-sah,Abstract
energía,energy,eh-ner-hee-ah,Abstract
libertad,freedom,lee-ber-tahd,Abstract
justicia,justice,hoos-tee-syah,Abstract
cultura,culture,kool-too-rah,Abstract
religión,religion,reh-lee-hyohn,Abstract
dios,god,dyohs,Abstract
muerte,death,mwer-teh,Abstract
nacimiento,birth,nah-see-myen-toh,Abstract
boda,wedding,boh-dah,Abstract
fiesta,party,fyes-tah,Abstract
viaje,trip,vyah-heh,Abstract
vacaciones,vacation,vah-kah-syo-nes,Abstract
accidente,accident,ak-see-den-teh,Abstract
emergencia,emergency,eh-mer-hen-syah,Abstract
fuego,fire,fweh-goh,Abstract
policía,police,poh-lee-syah,Abstract
ambulancia,ambulance,ahm-boo-lahn-syah,Abstract
peligro,danger,peh-lee-groh,Abstract
cuidado,care/caution,kwee-dah-doh,Abstract
atención,attention,ah-ten-syohn,Abstract
respeto,respect,res-peh-toh,Abstract
miedo,fear,myeh-doh,Abstract
sorpresa,surprise,sor-preh-sah,Abstract
risa,laughter,ree-sah,Abstract
llanto,crying,yahn-toh,Abstract
grito,scream/shout,gree-toh,Abstract
silencio,silence,see-len-syoh,Abstract
oscuridad,darkness,os-koo-ree-dahd,Abstract
sombra,shadow,sohm-brah,Abstract
espacio,space,es-pah-syoh,Abstract
forma,shape,for-mah,Abstract
tamaño,size,tah-mah-nyoh,Abstract
peso,weight,peh-soh,Abstract
velocidad,speed,veh-loh-see-dahd,Abstract
dirección,address/direction,dee-rek-syohn,Abstract
